affiliate_id;created_at;date;updated_at;amount;status;type;fee_id
165;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-30;20;Pagado;cash;1
165;1987-02-01 00:00:00;2002-04-01 00:00:00;;2150;Pagado;cash;1
166;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
166;2004-06-01 00:00:00;2008-10-01 00:00:00;2010-12-23;1060;Pagado;cash;1
167;1987-01-01 00:00:00;1999-09-01 00:00:00;;1600;Pagado;cash;1
170;2000-06-01 00:00:00;2007-01-01 00:00:00;2006-01-26;1600;Pagado;cash;1
170;2007-02-01 00:00:00;2007-12-01 00:00:00;2007-12-20;220;Pagado;cash;1
171;1997-06-01 00:00:00;1999-02-01 00:00:00;2003-09-30;210;Pagado;cash;1
171;1999-03-01 00:00:00;1999-12-01 00:00:00;2003-09-30;200;Pagado;cash;1
171;2000-01-01 00:00:00;2000-05-01 00:00:00;2007-01-17;100;Pagado;cash;1
171;2000-06-01 00:00:00;2000-10-01 00:00:00;2007-02-13;100;Pagado;cash;1
171;2000-11-01 00:00:00;2001-03-01 00:00:00;2007-04-04;100;Pagado;cash;1
172;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
173;2000-01-01 00:00:00;2005-11-01 00:00:00;2005-12-09;1420;Pagado;cash;1
